epoch,train_loss,val_loss,raw_val_iou,raw_val_precision,raw_val_recall,postprocessed_val_iou,postprocessed_val_precision,postprocessed_val_recall,learning_rate
1,0.9644640404731035,1.046329915523529,0.4526409950589054,0.5173009844658517,0.793611771905908,0.4526497477174703,0.5173373656304977,0.793611771905908,0.0009998903417374227
2,0.7658013813197613,0.7542078718543053,0.5846757208597024,0.6865472692940926,0.8305763093821024,0.5874767183124425,0.6926759940567844,0.8259744390054025,0.0009995614150494292
3,0.6424946691840887,0.613464392721653,0.6074431610200062,0.7861720030457142,0.7500763498060145,0.6042284734948391,0.7888885342101619,0.7434070010387287,0.0009990133642141358
4,0.5430396692827344,0.5711004510521889,0.647337241589395,0.7154617434370469,0.8811253705276607,0.6565589615893136,0.7292390119237153,0.876754938084582,0.0009982464296247522
5,0.4930738443508744,0.4850156642496586,0.6794910733019632,0.7754793395922263,0.8558923744927404,0.6961423457656031,0.795938107841369,0.8532834916340479,0.0009972609476841367
6,0.4218671750277281,0.47258297353982925,0.6683418711220848,0.8368320347237042,0.7683969295795742,0.669755524479617,0.8440260098794542,0.7611794686611211,0.000996057350657239
7,0.38562744203954935,0.3743962123990059,0.735837995037534,0.8363868766069182,0.8567548521244019,0.7443748827018519,0.854498377001659,0.856397833112005,0.000994636166481494
8,0.3355408236384392,0.5087980702519417,0.642405455100759,0.7596409490102539,0.8212407237879266,0.6751946690280527,0.8080935868238617,0.818786861303711,0.0009929980185352525
9,0.3190518952906132,0.3778444677591324,0.72601994935072,0.8709382036285775,0.8154927076933485,0.728605801913929,0.8747157806126655,0.8151095665269041,0.0009911436253643444
10,0.282200759742409,0.3907712399959564,0.7134630930499548,0.8059429243862624,0.8733668887205311,0.7325169469381158,0.8278689641165313,0.8709911911547729,0.0009890738003669028
11,0.2656190670095384,0.47520454227924347,0.6831514868859974,0.7254660811833002,0.9140479830404624,0.7145036369489592,0.7642378293706187,0.9113931790566092,0.00098678945143658
12,0.2678194330073893,0.33158712834119797,0.7505594838758497,0.8860086137861006,0.8343893670897727,0.7608493799773063,0.8949867726601639,0.8355138784326899,0.0009842915805643154
