epoch,train_loss,val_loss,val_iou,val_precision,val_recall,learning_rate
1,0.8364222757518291,2.2393796145915985,0.381243129380065,0.40890402836616363,0.8695992332971584,0.0009998903417374227
2,0.6397615056484938,0.9629193171858788,0.3590933185511693,0.8465979387520457,0.4059098716058178,0.0009995614150494292
3,0.5490428013727069,1.288551576435566,0.4192616456289977,0.44929490226041413,0.8701249366905999,0.0009990133642141358
4,0.47397288400679827,1.401545912027359,0.44250635788687254,0.46244403920073957,0.9091950038474959,0.0009982464296247522
5,0.43043262604624033,0.7729850113391876,0.5245575848557787,0.8210098100926322,0.6071751644855131,0.0009972609476841367
6,0.4237303864210844,0.7814023159444332,0.5346236440107321,0.7040829239928929,0.7071204107233886,0.000996057350657239
7,0.38657547160983086,0.7602504640817642,0.5639540038631409,0.6895745270535825,0.7659578552262497,0.000994636166481494
8,0.35570431500673294,0.6292028613388538,0.6129000882565886,0.748363806825836,0.7828887394584865,0.0009929980185352525
9,0.3297899551689625,0.9605738148093224,0.5195903128616202,0.5636667319039527,0.8693566067719578,0.0009911436253643444
10,0.32745386147871614,0.7949629724025726,0.5463080631898496,0.6298387346386349,0.8083079279655878,0.0009890738003669028
11,0.2993179727345705,0.7722509428858757,0.5565716348742926,0.6288244973910224,0.8306712930202784,0.00098678945143658
12,0.2785375392995775,0.7968986704945564,0.5764402069281456,0.6709223609297692,0.8149915834284275,0.0009842915805643154
13,0.2716596284881234,0.6929733008146286,0.6075748413638449,0.7126615069797014,0.8040575994011274,0.000981581283398829
14,0.2517984788864851,0.6026636585593224,0.6359304318390171,0.7422942801554974,0.8169469260059155,0.0009786597487660333
15,0.2436899202875793,0.7887321338057518,0.5781623961954631,0.6542993762593443,0.8415001693294607,0.0009755282581475766
16,0.22268287418410182,0.7069261856377125,0.6020791782369235,0.7074310159212238,0.8076846840118193,0.0009721881851187403
17,0.23660652386024594,0.716838926076889,0.5855887080444295,0.6720293090650308,0.8245057648313168,0.0009686409947459456
18,0.23044168995693326,0.6803733333945274,0.6065832554140834,0.7625778638493553,0.7575129206143134,0.0009648882429441254
19,0.21935611916705966,0.6985712870955467,0.5921048747461202,0.7063943837066354,0.7887389956693525,0.00096093157579425
20,0.19426399795338511,0.7543249055743217,0.6000061458719604,0.6872057079781149,0.8322380343495182,0.0009567727288213001
21,0.18155349232256413,0.7538571171462536,0.5898130027424181,0.6977994508699228,0.7997620505689,0.0009524135262330095
22,0.16682263906113803,0.7346401549875736,0.597917934944328,0.8161895527122265,0.7029841930164222,0.0009478558801197061
23,0.16188484081067145,0.841163381934166,0.5798140765603895,0.6764508689991792,0.8145812979959084,0.000943101789615607
24,0.16722098202444613,0.862456738948822,0.5743067515211263,0.6501725997775445,0.8326382009832433,0.0009381533400219313
25,0.166689450154081,0.7389458417892456,0.5962260227399878,0.778052006579941,0.7283341543151267,0.0009330127018922189
26,0.16224920167587698,0.8129829913377762,0.5798141139828084,0.7980078003126736,0.6865799257067186,0.000927682130080253
27,0.14520352613180876,0.6623692475259304,0.6291464706291667,0.8003730120607533,0.7477095947828409,0.0009221639627510072
28,0.13856289139948785,0.8120391219854355,0.6035097991594306,0.6711298531731791,0.8592277152049275,0.0009164606203550494
29,0.14040996157564223,0.9281027354300022,0.558875208827787,0.6563884577117979,0.7950273514645718,0.0009105746045668516
30,0.13134934916161,0.6370200365781784,0.6457820933052023,0.7486749521608271,0.8226285653903044,0.0009045084971874733
31,0.13995301024988294,0.8889983035624027,0.5593369340786809,0.797944540387116,0.6679299551669972,0.0008982649590120977
32,0.12751019978895783,0.8691764138638973,0.5723144062568036,0.6815380600848128,0.7906073407992193,0.0008918467286629196
33,0.12137747812084854,0.7504704557359219,0.6041903752091213,0.718688527383416,0.7983913882483461,0.0008852566213878943
34,0.11054289736784995,0.7573146596550941,0.6083521014717532,0.7940643139451152,0.7246006071328424,0.000878497527825878
