epoch,train_loss,val_loss,val_iou,val_precision,val_recall,learning_rate
1,0.9683651067316532,2.8495725989341736,0.3037406917173531,0.30817792534203814,0.9694031405654296,0.0009998903417374227
2,0.7530501000583172,1.3046567738056183,0.3382334949769904,0.3518723546032444,0.8666162453843604,0.0009995614150494292
3,0.6223006304353476,0.6951080113649368,0.610148909457103,0.7619118097142237,0.7570647666948646,0.0009990133642141358
4,0.5236772214993834,0.6846531480550766,0.5810260526082753,0.6620209671501305,0.8303039353809973,0.0009982464296247522
5,0.44701657723635435,0.6157440543174744,0.5906502394228974,0.7385212055266879,0.7435289464164072,0.0009972609476841367
6,0.419467331841588,0.7407340481877327,0.46096217657067295,0.7271012915461502,0.5516279508269293,0.000996057350657239
7,0.39391928166151047,0.6326739527285099,0.5687948675605005,0.7050295592512703,0.7473024784590323,0.000994636166481494
8,0.3504525665193796,0.8945296704769135,0.412966277581854,0.9505424797718188,0.41911337681252625,0.0009929980185352525
9,0.32818130403757095,0.5337477326393127,0.623049104726979,0.7185999701798911,0.8234436444085602,0.0009911436253643444
10,0.30734984762966633,0.4990675710141659,0.6420099345099313,0.7894243418095734,0.7685310260264978,0.0009890738003669028
11,0.2887130258604884,0.6822751797735691,0.50765931542881,0.8910223602791656,0.5425806585574071,0.00098678945143658
12,0.26722078025341034,0.540906272828579,0.6218219347298211,0.7686032105981573,0.7616468547192723,0.0009842915805643154
13,0.249548455234617,0.5166544765233994,0.6310787276062857,0.840910712825534,0.7151064641559478,0.000981581283398829
14,0.24515941739082336,0.5522495694458485,0.6144285594433111,0.8862714150062324,0.6685829166334352,0.0009786597487660333
15,0.2257817038334906,0.6118897795677185,0.6034200735998757,0.6729442865189645,0.8545038818887623,0.0009755282581475766
16,0.2071963157504797,0.6129981838166714,0.6151049609487427,0.7634422791954263,0.7512495586578837,0.0009721881851187403
17,0.2064667446538806,0.5777833126485348,0.6121236646491462,0.7294543026893638,0.7925205673736814,0.0009686409947459456
18,0.19519047066569328,0.5475897789001465,0.6379273991866893,0.8354712508339186,0.7269650512552592,0.0009648882429441254
19,0.21159843308851123,0.598671667277813,0.6052204400504047,0.7329826513503511,0.772112608534065,0.00096093157579425
20,0.1823145062662661,0.5191416367888451,0.6457287380778411,0.7861500705986006,0.7866831972419466,0.0009567727288213001
21,0.17090703267604113,0.4760994575917721,0.6637775647368098,0.8548247303295295,0.7520671608374943,0.0009524135262330095
22,0.1591541615780443,0.45082589611411095,0.6875775889263139,0.8381972693029334,0.798587026515494,0.0009478558801197061
23,0.157921978039667,0.5987611226737499,0.6078111501115098,0.7248796889314418,0.7913294954287703,0.000943101789615607
24,0.1536855474114418,0.6202597320079803,0.597962435242422,0.7068762137039311,0.7893142616822995,0.0009381533400219313
25,0.1497402370441705,0.49111671559512615,0.6672097279583071,0.8747098251124041,0.7358845066528115,0.0009330127018922189
26,0.1423778065945953,0.5834513232111931,0.6236294303634895,0.7727917121146017,0.7647583168823356,0.000927682130080253
27,0.1343815925065428,0.5362865589559078,0.6378938386362447,0.9035966522966541,0.6876326563675061,0.0009221639627510072
28,0.1225819424726069,0.823826253414154,0.5154663739229157,0.6127664530865624,0.7934577084376289,0.0009164606203550494
29,0.14192455867305398,0.6999194957315922,0.5670658517014677,0.9429510808184653,0.5885837499335761,0.0009105746045668516
30,0.12387791345827281,0.5371614582836628,0.6521716452991734,0.8795919513351036,0.7223966405778024,0.0009045084971874733
31,0.1140525690279901,0.5071778129786253,0.6588296189170821,0.8104249693731651,0.780166619062966,0.0008982649590120977
32,0.12161440961062908,0.5246202573180199,0.6537148880917208,0.8061733990690465,0.7766138913928682,0.0008918467286629196
33,0.1122083228547126,0.5193114764988422,0.666207208311145,0.787807762588556,0.8164906216446567,0.0008852566213878943
34,0.10356532549485564,0.5946740917861462,0.6253340999403874,0.8611464052521134,0.695407671925479,0.000878497527825878
35,0.09793639578856528,0.5367778353393078,0.6597801114109199,0.8241314482576791,0.7658829239731486,0.000871572412738697
36,0.1057747972663492,0.5874873772263527,0.6427908332201735,0.8429538670432096,0.7356429751338628,0.0008644843137107055
37,0.08972204918973148,0.5968486368656158,0.6313747715658686,0.8100526678790774,0.7475083790543523,0.0008572363398164014
38,0.08933365670964122,0.5235295295715332,0.6539621525021628,0.7544598154511146,0.8354389825131653,0.0008498316702566826
39,0.08440261078067124,0.5450586006045341,0.6514717932082004,0.8560325540544111,0.7353662629284314,0.0008422735529643442
40,0.0823805327527225,0.5952793285250664,0.649369120650073,0.7444706913730726,0.8312571719870182,0.0008345653031794289
41,0.08754284668248147,0.5709059238433838,0.6645638368335627,0.8932474042615515,0.7299258259900405,0.0008267103019950526
42,0.09136872261296958,0.5716415196657181,0.6611122069170985,0.7955580317182814,0.7966313072919935,0.0008187119948743447
43,0.07296156010124832,0.5506778992712498,0.660107823351946,0.8085346501212403,0.7900988371180337,0.000810573890139155
44,0.06623296928592026,0.5033733062446117,0.6927657633361168,0.8743570324226058,0.7736054724275659,0.0008022995574311873
45,0.06409182911738753,0.551704790443182,0.6694218873578403,0.8457465602706411,0.7645272260113314,0.0007938926261462363
46,0.06241667957510799,0.5494413152337074,0.6761167573924614,0.8738248569087085,0.753092811510339,0.0007853567838422158
47,0.062231884454376996,0.5574800372123718,0.6746541917883109,0.8978600708174662,0.735975097221055,0.0007766957746216719
48,0.0667627063812688,0.5294781103730202,0.6809411066155484,0.8384202327711412,0.7835164164506798,0.0007679133974894982
49,0.07399711187463254,0.5768077857792377,0.6654057351007022,0.7681661394126007,0.8322090221233811,0.000759013504686565
50,0.0781045719049871,0.5325113162398338,0.6779573867641088,0.8218245007980278,0.7993317489518474,0.0007499999999999998
51,0.07467534567695111,0.47122223675251007,0.6971943595330764,0.8476437501095351,0.7966268980277333,0.0007408768370508575
52,0.06128797237761319,0.5329084116965532,0.6753723719829618,0.8392582835230533,0.7782645101250079,0.0007316480175599307
53,0.04818627692293376,0.5521285533905029,0.6767658875385597,0.8458030939838008,0.7760771611945738,0.0007223175895924635
54,0.046603746130131185,0.5685357712209225,0.6650432559837446,0.8391745655673635,0.7652489733037993,0.0007128896457825361
55,0.04329428973142058,0.5926771946251392,0.660338580304856,0.8643699925057569,0.7391923799311082,0.0007033683215378998
